num,code,name,inst,loc,day,period,final
26313,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26313,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E116,M,13:55,15:50,4/27/2022 @ 3:00 PM - 5:00 PM
26314,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26314,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E115,M,16:5,18:0,4/27/2022 @ 3:00 PM - 5:00 PM
26316,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26316,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E115,M,18:15,20:10,4/27/2022 @ 3:00 PM - 5:00 PM
26317,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26317,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E113,M,20:20,22:10,4/27/2022 @ 3:00 PM - 5:00 PM
26319,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26319,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E116,T,8:30,10:25,4/27/2022 @ 3:00 PM - 5:00 PM
26320,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26320,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E312,T,10:40,12:35,4/27/2022 @ 3:00 PM - 5:00 PM
